gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn,Avg_Monthly_Spend,Charge_per_Tenure,Service_Count
Female,0,Yes,No,1,0,0.0,DSL,0.0,1.0,0.0,0.0,0.0,0.0,Month-to-month,Yes,Electronic check,29.85,29.85,No,29.85,29.85,1.0
Male,0,No,No,34,1,0.0,DSL,1.0,0.0,1.0,0.0,0.0,0.0,One year,No,Mailed check,56.95,1889.5,No,55.5735294117647,1.675,3.0
Male,0,No,No,2,1,0.0,DSL,1.0,1.0,0.0,0.0,0.0,0.0,Month-to-month,Yes,Mailed check,53.85,108.15,Yes,54.075,26.925,3.0
Male,0,No,No,45,0,0.0,DSL,1.0,0.0,1.0,1.0,0.0,0.0,One year,No,Bank transfer (automatic),42.3,1840.75,No,40.90555555555556,0.94,3.0
Female,0,No,No,2,1,0.0,Fiber optic,0.0,0.0,0.0,0.0,0.0,0.0,Month-to-month,Yes,Electronic check,70.7,151.65,Yes,75.825,35.35,1.0
Female,0,No,No,8,1,1.0,Fiber optic,0.0,0.0,1.0,0.0,1.0,1.0,Month-to-month,Yes,Electronic check,99.65,820.5,Yes,102.5625,12.45625,5.0
Male,0,No,Yes,22,1,1.0,Fiber optic,0.0,1.0,0.0,0.0,1.0,0.0,Month-to-month,Yes,Credit card (automatic),89.1,1949.4,No,88.60909090909091,4.05,4.0
Female,0,No,No,10,0,0.0,DSL,1.0,0.0,0.0,0.0,0.0,0.0,Month-to-month,No,Mailed check,29.75,301.9,No,30.189999999999998,2.975,1.0
Female,0,Yes,No,28,1,1.0,Fiber optic,0.0,0.0,1.0,1.0,1.0,1.0,Month-to-month,Yes,Electronic check,104.8,3046.05,Yes,108.78750000000001,3.742857142857143,6.0
Male,0,No,Yes,62,1,0.0,DSL,1.0,1.0,0.0,0.0,0.0,0.0,One year,No,Bank transfer (automatic),56.15,3487.95,No,56.25725806451613,0.9056451612903226,3.0
Male,0,Yes,Yes,13,1,0.0,DSL,1.0,0.0,0.0,0.0,0.0,0.0,Month-to-month,Yes,Mailed check,49.95,587.45,No,45.18846153846154,3.8423076923076924,2.0
Male,0,No,No,16,1,0.0,No,0.0,0.0,0.0,0.0,0.0,0.0,Two year,No,Credit card (automatic),18.95,326.8,No,20.425,1.184375,1.0
Male,0,Yes,No,58,1,1.0,Fiber optic,0.0,0.0,1.0,0.0,1.0,1.0,One year,No,Credit card (automatic),100.35,5681.1,No,97.95,1.7301724137931034,5.0
Male,0,No,No,49,1,1.0,Fiber optic,0.0,1.0,1.0,0.0,1.0,1.0,Month-to-month,Yes,Bank transfer (automatic),103.7,5036.3,Yes,102.78163265306122,2.1163265306122447,6.0
Male,0,No,No,25,1,0.0,Fiber optic,1.0,0.0,1.0,1.0,1.0,1.0,Month-to-month,Yes,Electronic check,105.5,2686.05,No,107.44200000000001,4.22,6.0
Female,0,Yes,Yes,69,1,1.0,Fiber optic,1.0,1.0,1.0,1.0,1.0,1.0,Two year,No,Credit card (automatic),113.25,7895.15,No,114.42246376811593,1.641304347826087,8.0
Female,0,No,No,52,1,0.0,No,0.0,0.0,0.0,0.0,0.0,0.0,One year,No,Mailed check,20.65,1022.95,No,19.672115384615385,0.3971153846153846,1.0
Male,0,No,Yes,71,1,1.0,Fiber optic,1.0,0.0,1.0,0.0,1.0,1.0,Two year,No,Bank transfer (automatic),106.7,7382.25,No,103.97535211267606,1.5028169014084507,6.0
Female,0,Yes,Yes,10,1,0.0,DSL,0.0,0.0,1.0,1.0,0.0,0.0,Month-to-month,No,Credit card (automatic),55.2,528.35,Yes,52.835,5.5200000000000005,3.0
Female,0,No,No,21,1,0.0,Fiber optic,0.0,1.0,1.0,0.0,0.0,1.0,Month-to-month,Yes,Electronic check,90.05,1862.9,No,88.70952380952382,4.288095238095238,4.0
Male,1,No,No,1,0,0.0,DSL,0.0,0.0,1.0,0.0,0.0,1.0,Month-to-month,Yes,Electronic check,39.65,39.65,Yes,39.65,39.65,2.0
Male,0,Yes,No,12,1,0.0,No,0.0,0.0,0.0,0.0,0.0,0.0,One year,No,Bank transfer (automatic),19.8,202.25,No,16.854166666666668,1.6500000000000001,1.0
Male,0,No,No,1,1,0.0,No,0.0,0.0,0.0,0.0,0.0,0.0,Month-to-month,No,Mailed check,20.15,20.15,Yes,20.15,20.15,1.0
Female,0,Yes,No,58,1,1.0,DSL,0.0,1.0,0.0,1.0,0.0,0.0,Two year,Yes,Credit card (automatic),59.9,3505.1,No,60.432758620689654,1.032758620689655,4.0
Male,0,Yes,Yes,49,1,0.0,DSL,1.0,1.0,0.0,1.0,0.0,0.0,Month-to-month,No,Credit card (automatic),59.6,2970.3,No,60.61836734693878,1.2163265306122448,4.0
Female,0,No,No,30,1,0.0,DSL,1.0,1.0,0.0,0.0,0.0,0.0,Month-to-month,Yes,Bank transfer (automatic),55.3,1530.6,No,51.019999999999996,1.8433333333333333,3.0
Male,0,Yes,Yes,47,1,1.0,Fiber optic,0.0,1.0,0.0,0.0,1.0,1.0,Month-to-month,Yes,Electronic check,99.35,4749.15,Yes,101.04574468085106,2.1138297872340424,5.0
Male,0,Yes,Yes,1,0,0.0,DSL,0.0,1.0,0.0,0.0,0.0,0.0,Month-to-month,No,Electronic check,30.2,30.2,Yes,30.2,30.2,1.0
Male,0,Yes,No,72,1,1.0,DSL,1.0,1.0,1.0,1.0,1.0,1.0,Two year,Yes,Credit card (automatic),90.25,6369.45,No,88.46458333333334,1.2534722222222223,8.0
Female,0,No,Yes,17,1,0.0,DSL,0.0,0.0,0.0,0.0,1.0,1.0,Month-to-month,Yes,Mailed check,64.7,1093.1,Yes,64.3,3.8058823529411767,3.0
Female,1,Yes,No,71,1,1.0,Fiber optic,1.0,1.0,1.0,1.0,0.0,0.0,Two year,Yes,Credit card (automatic),96.35,6766.95,No,95.30915492957746,1.3570422535211266,6.0
Male,1,Yes,No,2,1,0.0,Fiber optic,0.0,0.0,1.0,0.0,1.0,1.0,Month-to-month,Yes,Credit card (automatic),95.5,181.65,No,90.825,47.75,4.0
Female,0,Yes,Yes,27,1,0.0,DSL,1.0,1.0,1.0,1.0,0.0,0.0,One year,No,Mailed check,66.15,1874.45,No,69.42407407407407,2.45,5.0
